Item ID: 0, Name: Dwarf remains, Options: [null, null, null, null, Destroy].
Item ID: 1, Name: Toolkit, Options: [null, null, null, null, Destroy].
Item ID: 2, Name: Cannonball, Options: [null, null, null, null, drop].
Item ID: 3, Name: Nulodion's notes, Options: [Read, null, null, null, Destroy].
Item ID: 4, Name: Ammo mould, Options: [null, null, null, null, drop].
Item ID: 5, Name: Instruction manual, Options: [Read, null, null, null, drop].
Item ID: 6, Name: Cannon base, Options: [Set-up, null, null, null, drop].
Item ID: 7, Name: null, Options: [null, null, null, null, drop].
Item ID: 8, Name: Cannon stand, Options: [null, null, null, null, drop].
Item ID: 9, Name: null, Options: [null, null, null, null, drop].
Item ID: 10, Name: Cannon barrels, Options: [null, null, null, null, drop].
Item ID: 11, Name: null, Options: [null, null, null, null, drop].
Item ID: 12, Name: Cannon furnace, Options: [null, null, null, null, drop].
Item ID: 13, Name: null, Options: [null, null, null, null, drop].
Item ID: 14, Name: Railing, Options: [null, null, null, null, drop].
Item ID: 15, Name: Holy table napkin, Options: [null, null, null, null, drop].
Item ID: 16, Name: Magic whistle, Options: [Blow, null, null, null, drop].
Item ID: 17, Name: Grail bell, Options: [Ring, null, null, null, drop].
Item ID: 18, Name: Magic gold feather, Options: [Blow-on, null, null, null, drop].
Item ID: 19, Name: Holy grail, Options: [null, null, null, null, Destroy].
Item ID: 20, Name: White cog, Options: [null, null, null, null, drop].
Item ID: 21, Name: Black cog, Options: [null, null, null, null, drop].
Item ID: 22, Name: Blue cog, Options: [null, null, null, null, drop].
Item ID: 23, Name: Red cog, Options: [null, null, null, null, drop].
Item ID: 24, Name: Rat poison, Options: [null, null, null, null, drop].
Item ID: 25, Name: Red vine worm, Options: [null, null, null, null, drop].
Item ID: 26, Name: Fishing trophy, Options: [null, null, null, null, drop].
Item ID: 27, Name: Fishing pass, Options: [null, null, null, null, drop].
Item ID: 28, Name: Insect repellent, Options: [null, null, null, null, drop].
Item ID: 29, Name: null, Options: [null, null, null, null, drop].
